tenor,rate,calibrate
3Y,-0.00140,True
4Y,-0.00068,True
5Y,0.00021,True
6Y,0.00121,True
7Y,0.00227,True
8Y,0.00335,True
9Y,0.00436,True
10Y,0.00527,True
11Y,0.00609,False
12Y,0.00681,True
13Y,0.00743,False
14Y,0.00795,False
15Y,0.00838,True
16Y,0.00873,False
17Y,0.00901,False
18Y,0.00922,False
19Y,0.00939,False
20Y,0.00952,True
21Y,0.00962,False
22Y,0.00970,False
23Y,0.00976,False
24Y,0.00980,False
25Y,0.00983,True
26Y,0.00984,False
27Y,0.00984,False
28Y,0.00983,False
29Y,0.00982,False
30Y,0.00980,True
35Y,0.00973,False
40Y,0.00958,False
50Y,0.00895,True
60Y,0.00870,True
